onset	duration	trial_type
8.000	3.000	lose
13.820	3.000	win
19.384	3.000	lose
24.884	3.000	win
29.841	3.000	lose
34.198	3.000	win
39.776	3.000	win
44.441	3.000	lose
50.043	3.000	win
55.986	3.000	lose
60.777	3.000	lose
65.580	3.000	win
71.474	3.000	lose
76.923	3.000	lose
81.263	3.000	lose
85.518	3.000	tie
89.820	3.000	lose
95.630	3.000	tie
101.243	3.000	tie
105.535	3.000	lose
111.188	3.000	tie
117.149	3.000	win
122.463	3.000	win
127.164	3.000	win
132.261	3.000	lose
136.523	3.000	lose
140.552	3.000	lose
146.493	3.000	win
151.793	3.000	lose
156.846	3.000	win
162.713	3.000	lose
167.581	3.000	win
173.324	3.000	lose
178.977	3.000	win
183.399	3.000	win
187.902	3.000	lose
192.488	3.000	lose
196.969	3.000	tie
202.142	3.000	lose
206.661	3.000	win
211.499	3.000	lose
215.761	3.000	win
221.581	3.000	tie
226.289	3.000	tie
231.205	3.000	win
236.372	3.000	lose
242.180	3.000	lose
247.022	3.000	win
252.857	3.000	tie
257.860	3.000	win
262.924	3.000	lose
267.971	3.000	tie
272.008	3.000	win
276.889	3.000	win
281.255	3.000	win
285.263	3.000	tie
290.861	3.000	win
295.206	3.000	win
