onset	duration	trial_type
8.029	0.968	left_hand_cue
8.997	1.219	left_hand
10.216	1.218	left_hand
11.434	1.219	left_hand
12.653	1.218	left_hand
13.871	1.219	left_hand
15.09	1.219	left_hand
16.309	1.218	left_hand
17.527	1.219	left_hand
18.746	1.218	left_hand
19.964	1.252	left_hand
21.216	0.968	right_foot_cue
22.184	1.219	right_foot
23.403	1.218	right_foot
24.621	1.219	right_foot
25.84	1.218	right_foot
27.058	1.219	right_foot
28.277	1.218	right_foot
29.495	1.219	right_foot
30.714	1.218	right_foot
31.932	1.219	right_foot
33.151	1.252	right_foot
49.392	0.969	tongue_cue
50.361	1.218	tongue
51.579	1.219	tongue
52.798	1.218	tongue
54.016	1.219	tongue
55.235	1.218	tongue
56.453	1.219	tongue
57.672	1.218	tongue
58.89	1.219	tongue
60.109	1.218	tongue
61.327	1.252	tongue
62.579	0.968	left_foot_cue
63.547	1.219	left_foot
64.766	1.218	left_foot
65.984	1.219	left_foot
67.203	1.218	left_foot
68.421	1.219	left_foot
69.64	1.219	left_foot
70.859	1.218	left_foot
72.077	1.219	left_foot
73.296	1.218	left_foot
74.514	1.252	left_foot
75.766	0.968	right_hand_cue
76.734	1.219	right_hand
77.953	1.218	right_hand
79.171	1.219	right_hand
80.39	1.218	right_hand
81.608	1.219	right_hand
82.827	1.218	right_hand
84.045	1.219	right_hand
85.264	1.218	right_hand
86.482	1.219	right_hand
87.701	1.252	right_hand
103.942	0.969	left_hand_cue
104.911	1.218	left_hand
106.129	1.219	left_hand
107.348	1.218	left_hand
108.566	1.219	left_hand
109.785	1.218	left_hand
111.003	1.219	left_hand
112.222	1.218	left_hand
113.44	1.219	left_hand
114.659	1.218	left_hand
115.877	1.252	left_hand
117.129	0.968	tongue_cue
118.097	1.219	tongue
119.316	1.218	tongue
120.534	1.219	tongue
121.753	1.218	tongue
122.971	1.219	tongue
124.19	1.218	tongue
125.408	1.219	tongue
126.627	1.219	tongue
127.846	1.218	tongue
129.064	1.252	tongue
130.316	0.968	right_foot_cue
131.284	1.219	right_foot
132.503	1.218	right_foot
133.721	1.219	right_foot
134.94	1.218	right_foot
136.158	1.219	right_foot
137.377	1.218	right_foot
138.595	1.219	right_foot
139.814	1.218	right_foot
141.032	1.219	right_foot
142.251	1.252	right_foot
143.503	0.968	right_hand_cue
144.471	1.218	right_hand
145.689	1.219	right_hand
146.908	1.218	right_hand
148.126	1.219	right_hand
149.345	1.219	right_hand
150.564	1.218	right_hand
151.782	1.219	right_hand
153.001	1.218	right_hand
154.219	1.219	right_hand
155.438	1.252	right_hand
156.69	0.968	left_foot_cue
157.658	1.218	left_foot
158.876	1.219	left_foot
160.095	1.218	left_foot
161.313	1.219	left_foot
162.532	1.218	left_foot
163.75	1.219	left_foot
