onset	duration	trial_type
8.062	3.605	reward
11.667	3.623	punishment
15.29	3.605	punishment
18.895	3.622	punishment
22.517	3.623	reward
26.14	3.605	punishment
29.745	3.622	punishment
33.367	3.556	punishment
51.979	3.622	reward
55.601	3.606	punishment
59.207	3.605	reward
62.812	3.606	reward
66.418	3.622	reward
70.04	3.622	reward
73.662	3.606	punishment
77.268	3.567	reward
95.879	3.606	reward
99.485	3.605	neutral
103.09	3.606	reward
106.696	3.622	punishment
110.318	3.606	reward
113.924	3.605	reward
117.529	3.606	reward
121.135	3.562	reward
139.746	3.606	neutral
143.352	3.622	neutral
146.974	3.606	punishment
150.58	3.605	punishment
154.185	3.606	punishment
157.791	3.605	punishment
161.396	3.622	punishment
165.018	3.557	punishment
183.63	3.606	reward
187.236	3.622	reward
190.858	3.622	reward
194.48	3.605	neutral
198.085	3.606	neutral
201.691	3.606	reward
205.297	3.622	reward
208.919	3.568	reward
227.53	3.606	punishment
231.136	3.605	punishment
234.741	3.606	reward
238.347	3.622	punishment
241.969	3.606	punishment
245.575	3.605	neutral
249.18	3.606	punishment
252.786	3.563	punishment
271.397	3.606	reward
275.003	3.622	punishment
278.625	3.622	reward
282.247	3.606	reward
285.853	3.605	reward
289.458	3.623	reward
293.081	3.622	punishment
296.703	3.558	reward
315.315	3.605	neutral
318.92	3.622	neutral
322.542	3.606	punishment
326.148	3.605	punishment
329.753	3.622	punishment
333.375	3.623	punishment
336.998	3.605	punishment
340.603	3.57	punishment
